brand,model,model_link
maruti suzuki,dzire,https://www.zigwheels.com/maruti-suzuki-cars/dzire
maruti suzuki,ertiga,https://www.zigwheels.com/maruti-suzuki-cars/ertiga
maruti suzuki,swift,https://www.zigwheels.com/maruti-suzuki-cars/swift
maruti suzuki,brezza,https://www.zigwheels.com/maruti-suzuki-cars/brezza
maruti suzuki,fronx,https://www.zigwheels.com/maruti-suzuki-cars/fronx
maruti suzuki,grand vitara,https://www.zigwheels.com/maruti-suzuki-cars/grand-vitara
maruti suzuki,baleno,https://www.zigwheels.com/maruti-suzuki-cars/baleno
maruti suzuki,wagon r,https://www.zigwheels.com/maruti-suzuki-cars/wagon-r
maruti suzuki,alto k10,https://www.zigwheels.com/maruti-suzuki-cars/alto-k10
maruti suzuki,jimny,https://www.zigwheels.com/maruti-suzuki-cars/jimny
maruti suzuki,celerio,https://www.zigwheels.com/maruti-suzuki-cars/celerio
maruti suzuki,eeco,https://www.zigwheels.com/maruti-suzuki-cars/eeco
maruti suzuki,xl6,https://www.zigwheels.com/maruti-suzuki-cars/xl6
maruti suzuki,ignis,https://www.zigwheels.com/maruti-suzuki-cars/ignis
maruti suzuki,ciaz,https://www.zigwheels.com/maruti-suzuki-cars/ciaz
maruti suzuki,s-presso,https://www.zigwheels.com/maruti-suzuki-cars/s-presso
maruti suzuki,invicto,https://www.zigwheels.com/maruti-suzuki-cars/invicto
maruti suzuki,cervo,https://www.zigwheels.com/maruti-suzuki-cars/cervo
maruti suzuki,baleno 2025,https://www.zigwheels.com/maruti-suzuki-cars/baleno-2025
maruti suzuki,compact suv,https://www.zigwheels.com/maruti-suzuki-cars/compact-suv
maruti suzuki,super carry,https://www.zigwheels.com/maruti-suzuki-cars/super-carry
maruti suzuki,yra,https://www.zigwheels.com/maruti-suzuki-cars/yra
maruti suzuki,ertiga tour,https://www.zigwheels.com/maruti-suzuki-cars/ertiga-tour
maruti suzuki,swift hybrid,https://www.zigwheels.com/maruti-suzuki-cars/swift-hybrid
maruti suzuki,swift dzire tour,https://www.zigwheels.com/maruti-suzuki-cars/swift-dzire-tour
maruti suzuki,mr wagon,https://www.zigwheels.com/maruti-suzuki-cars/mr-wagon
maruti suzuki,iv-4,https://www.zigwheels.com/maruti-suzuki-cars/iv-4
maruti suzuki,wagon r mpv,https://www.zigwheels.com/maruti-suzuki-cars/wagon-r-mpv
maruti suzuki,solio,https://www.zigwheels.com/maruti-suzuki-cars/solio
maruti suzuki,wagonr electric,https://www.zigwheels.com/maruti-suzuki-cars/wagonr-electric
maruti suzuki,xl5,https://www.zigwheels.com/maruti-suzuki-cars/xl5
maruti suzuki,futuro-e,https://www.zigwheels.com/maruti-suzuki-cars/futuro-e
maruti suzuki,s-cross 2022,https://www.zigwheels.com/maruti-suzuki-cars/s-cross-2022
